"","adm1_en","adm1_code","adm2_en","adm2_code","district_PSLM","district_PSLM_num","variable","value"
"240","Khyber Pakhtunkhwa","PK2","Lakki Marwat","PK213","lakki marwat",116,"dist_bank","3.7514718"
"241","Khyber Pakhtunkhwa","PK2","Lower Dir","PK214","lower dir",117,"dist_bank","3.2599812"
"242","Khyber Pakhtunkhwa","PK2","Malakand PA","PK215","malakand",118,"dist_bank","3.2602458"
"243","Khyber Pakhtunkhwa","PK2","Mansehra","PK216","mansehra",119,"dist_bank","3.9346535"
"244","Khyber Pakhtunkhwa","PK2","Mardan","PK217","mardan",120,"dist_bank","2.2192206"
"245","Khyber Pakhtunkhwa","PK2","Mohmand","PK235","mohmand",121,"dist_bank","3.5995057"
"246","Khyber Pakhtunkhwa","PK2","North Waziristan","PK236","north waziristan",122,"dist_bank","4.624692"
"247","Khyber Pakhtunkhwa","PK2","Nowshera","PK218","nowshera",123,"dist_bank","2.4787323"
"248","Khyber Pakhtunkhwa","PK2","Orakzai","PK237","orakzai",124,"dist_bank","4.578023"
"249","Khyber Pakhtunkhwa","PK2","Peshawar","PK219","peshawar",125,"dist_bank","2.1953983"
"250","Khyber Pakhtunkhwa","PK2","Shangla","PK220","shangla",126,"dist_bank","0.99990934"
"251","Khyber Pakhtunkhwa","PK2","South Waziristan","PK238","south waziristan",127,"dist_bank","4.2773395"
"252","Khyber Pakhtunkhwa","PK2","Swabi","PK221","swabi",128,"dist_bank","1.3815297"
"253","Khyber Pakhtunkhwa","PK2","Swat","PK222","swat",129,"dist_bank","2.5330517"
"254","Khyber Pakhtunkhwa","PK2","Tank","PK229","tank",130,"dist_bank","4.5299115"
