"","adm1_en","adm2_en","variable","value"
"305","Khyber Pakhtunkhwa","Abbottabad","girls_middle_str",0.223454491494519
"306","Khyber Pakhtunkhwa","Bajaur","girls_middle_str",NA
"307","Khyber Pakhtunkhwa","Bannu","girls_middle_str",0.204640009347269
"308","Khyber Pakhtunkhwa","Batagram","girls_middle_str",0.813946405882353
"309","Khyber Pakhtunkhwa","Buner","girls_middle_str",1.37933890355634
"310","Khyber Pakhtunkhwa","Charsadda","girls_middle_str",0.516630420337989
"311","Khyber Pakhtunkhwa","Chitral","girls_middle_str",0.510310510113915
"312","Khyber Pakhtunkhwa","Dera Ismail Khan","girls_middle_str",0.275219410316513
"313","Khyber Pakhtunkhwa","FR Bannu","girls_middle_str",NA
"314","Khyber Pakhtunkhwa","FR Dera Ismail Khan","girls_middle_str",NA
"315","Khyber Pakhtunkhwa","FR Kohat","girls_middle_str",NA
"316","Khyber Pakhtunkhwa","FR Lakki Marwat","girls_middle_str",NA
"317","Khyber Pakhtunkhwa","FR Peshawar","girls_middle_str",NA
"318","Khyber Pakhtunkhwa","FR Tank","girls_middle_str",NA
"319","Khyber Pakhtunkhwa","Hangu","girls_middle_str",2.30834155359606
"320","Khyber Pakhtunkhwa","Haripur","girls_middle_str",0.29052170466467
"321","Khyber Pakhtunkhwa","Karak","girls_middle_str",0.574154322452528
"322","Khyber Pakhtunkhwa","Khyber","girls_middle_str",NA
"323","Khyber Pakhtunkhwa","Kohat","girls_middle_str",0.629212470792439
"324","Khyber Pakhtunkhwa","Kohistan","girls_middle_str",1.40469146238377
"325","Khyber Pakhtunkhwa","Kurram","girls_middle_str",NA
"326","Khyber Pakhtunkhwa","Lakki Marwat","girls_middle_str",0.379570364369327
"327","Khyber Pakhtunkhwa","Lower Dir","girls_middle_str",0.775753671056824
"328","Khyber Pakhtunkhwa","Malakand PA","girls_middle_str",0.917499212114842
"329","Khyber Pakhtunkhwa","Mansehra","girls_middle_str",0.216273908424618
"330","Khyber Pakhtunkhwa","Mardan","girls_middle_str",0.334383744071525
"331","Khyber Pakhtunkhwa","Mohmand","girls_middle_str",NA
"332","Khyber Pakhtunkhwa","North Waziristan","girls_middle_str",NA
"333","Khyber Pakhtunkhwa","Nowshera","girls_middle_str",0.616221723826453
"334","Khyber Pakhtunkhwa","Orakzai","girls_middle_str",NA
"335","Khyber Pakhtunkhwa","Peshawar","girls_middle_str",0.352936611687679
